x,y,ymin,ymax,se,flipped_aes,PANEL,group,colour,fill,size,linetype,weight,alpha
18691,-15.8913086178718,-17.2220202505494,-14.5605969851943,0.678946982278244,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18691.3924050633,-15.9748379100147,-17.204008606725,-14.7456672133043,0.627139430319079,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18691.7848101266,-16.057788583661,-17.1931337635176,-14.9224434038044,0.579268389017394,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18692.1772151899,-16.1395820203166,-17.1905791995346,-15.0885848410986,0.536232904026871,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18692.5696202532,-16.2196396014848,-17.1970770036107,-15.242202199359,0.498701715866072,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18692.9620253165,-16.2973827086693,-17.212681893123,-15.3820835242156,0.466997961020442,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18693.3544303797,-16.3722327233758,-17.2365877172285,-15.5078777295231,0.441005549423679,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18693.746835443,-16.4436110271076,-17.2670804955379,-15.6201415586773,0.420145204159709,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18694.1392405063,-16.5109390013691,-17.301707430886,-15.7201705718522,0.403460694050715,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18694.5316455696,-16.5736386988577,-17.337682984828,-15.8095944128874,0.389825676388424,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18694.9240506329,-16.631241157359,-17.3729813430662,-15.8895009716517,0.378445824289616,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18695.3164556962,-16.6835059561313,-17.4072655860345,-15.9597463262282,0.369271902755387,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18695.7088607595,-16.7302214518658,-17.4406350062679,-16.0198078974637,0.36246255543764,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18696.1012658228,-16.7711760012546,-17.4730260047088,-16.0693259978005,0.358093316504934,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18696.4936708861,-16.8061579609887,-17.5038744593609,-16.1084414626165,0.355984346587836,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18696.8860759494,-16.8349556877593,-17.5319711341581,-16.1379402413604,0.355626660437027,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18697.2784810127,-16.8573575382582,-17.5555349366898,-16.1591801398265,0.356219504000468,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18697.670886076,-16.8731518691765,-17.572479986009,-16.173823752344,0.3568066160137,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18698.0632911392,-16.8821291417199,-17.5808617457841,-16.1833965376557,0.356502777385558,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18698.4556962025,-16.8841436430642,-17.5802145679129,-16.1880727182155,0.355144752831802,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18698.8481012658,-16.8791234499149,-17.5716959707868,-16.186550929043,0.353359820045088,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18699.2405063291,-16.8670007493568,-17.5566054630031,-16.1773960357105,0.351845604861032,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
