y,x,group,tooltip,data_id,PANEL,flipped_aes,colour,size,linetype,alpha,x_date
11,18716,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-03-30
11,18717,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-03-31
11,18718,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-04-01
10,18719,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-04-02
11,18720,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-04-03
11,18721,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-04-04
11,18722,2,"Sample 2, San Antonio","Sample 2, San Antonio",1,FALSE,black,0.5,1,,2021-04-05
,18691,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-05
,18692,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-06
,18693,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-07
26,18694,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-08
26,18695,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-09
26,18696,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-10
26,18697,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-11
26,18698,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-12
23,18699,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-13
23,18700,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-14
22,18701,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-15
24,18702,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-16
24,18703,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-17
27,18704,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-18
23,18705,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-19
23,18706,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-20
23,18707,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-21
23,18708,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-22
22,18709,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-23
23,18710,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-24
23,18711,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-25
23,18712,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-26
24,18713,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-27
23,18714,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-28
24,18715,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-29
24,18716,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-30
24,18717,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-03-31
24,18718,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-04-01
23,18719,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-04-02
23,18720,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-04-03
